,MIN_PRICE,MAX_PRICE,CLASSIFICATION_GENRE,VENUE_LATITUDE,VENUE_LONGITUDE
86133,23.1,23.1,Blues,40.7257,-73.991673
86143,13.0,13.0,Other,45.523,-122.67443
86158,10.0,10.0,Hip-Hop/Rap,38.602643,-90.175493
86186,35.0,50.0,Rock,41.49949386,-81.6910261
86197,25.0,25.0,Rock,29.421806,-98.471752
86211,49.5,95.0,Rock,38.8961209,-77.0296101
86218,18.22,18.22,Folk,43.048366,-76.153423
86219,15.0,15.0,Rock,28.605164,-81.2977308
86222,20.0,20.0,Dance/Electronic,39.28763705,-76.60719037
86355,30.0,174.5,Rock,33.445899,-112.071313
86382,39.0,104.0,Rock,42.969376,-85.673835
86384,35.0,110.5,R&B,39.969938,-75.160278
86427,30.0,220.0,Rock,30.4515265,-91.1183898
86440,23.01,23.01,World,32.71938,-117.16813
86475,28.0,28.0,Rock,41.49949386,-81.6910261
86487,67.3,67.3,Jazz,34.098337,-118.337228
86490,40.5,60.5,Pop,32.78521325,-96.80851279
86495,45.55,85.72,R&B,37.786022,-122.409225
86503,57.21,107.21,Dance/Electronic,36.102916,-115.169756
86846,99.5,149.5,Dance/Electronic,34.09850537,-118.32421313
86851,20.0,20.0,Dance/Electronic,31.765721,-106.442271
86858,40.5,40.5,Rock,27.771666,-82.636035
87103,59.98,79.98,Rock,36.1101115,-115.1708107
87145,15.0,15.0,Dance/Electronic,39.28763705,-76.60719037
87288,87.5,152.5,Latin,40.69137302,-73.98124051
87317,45.0,45.0,Rock,35.815896,-78.619991
87322,32.5,75.5,Rock,40.8124988,-74.2165153
87346,35.0,65.0,Rock,32.9758,-117.2583
87388,49.5,89.5,Rock,35.9933059,-78.902225
87412,57.21,107.21,Dance/Electronic,36.102916,-115.169756
87639,21.0,21.0,R&B,34.04898,-118.23365
87642,60.46,60.46,World,39.672363,-104.865271
87643,23.0,23.0,Alternative,26.271203991813657,-80.1546288
87644,25.0,25.0,Rock,40.720364,-73.993542
87648,14.95,14.95,Dance/Electronic,34.0417391,-118.2512004
87659,49.5,214.5,Classical,47.6135664,-122.3319103
87670,30.0,45.0,Hip-Hop/Rap,40.73975368,-73.98501292
87678,0.0,0.0,Other,41.477055,-81.7735853
87680,17.0,17.0,Rock,39.061132,-94.590737
87686,25.0,25.0,World,29.5427119,-98.527468
87708,14.95,14.95,Dance/Electronic,34.10205,-118.3209
87714,25.0,25.0,R&B,34.076851,-118.381072
87726,16.75,35.75,Undefined,41.0169827,-92.411414
87760,20.0,22.0,Rock,39.96477,-75.134457
87771,12.3,17.7,Alternative,43.150062,-77.600122
87807,12.0,12.0,Rock,42.36422,-71.10133
87808,7.21,7.21,Other,36.7589448,-119.8023913
87823,79.0,159.0,Latin,28.370393,-81.504616
87849,35.0,75.0,Pop,38.99734055,-77.02746183
87853,35.0,35.0,Rock,40.774428,-111.905448
87857,47.5,99.5,Hip-Hop/Rap,33.89024,-84.469717
87871,25.0,200.0,Rock,30.4515265,-91.1183898
87877,25.0,50.0,Hip-Hop/Rap,33.758688,-84.391449
87880,20.0,20.0,Rock,41.49949386,-81.6910261
87928,103.0,1503.0,Country,36.116156,-115.175058
87937,35.0,35.0,Rock,38.65553,-90.297191
87941,18.0,18.0,Rock,34.04898,-118.23365
88024,45.0,95.0,Rock,41.9063,-87.659
88104,25.0,25.0,Undefined,39.4355973,-87.4298544
88141,48.0,83.0,Rock,43.6511,-116.2814
88160,49.5,129.5,Rock,42.365841,-71.060724
88167,25.0,40.5,Country,39.197639,-86.238487
88171,30.0,30.0,Rock,26.166888,-80.117058
88194,33.0,63.0,Jazz,40.75599205,-73.98447747
88203,39.5,39.5,Metal,38.99734055,-77.02746183
88211,29.5,59.5,Pop,40.734917,-73.9884469
88215,57.21,107.21,Dance/Electronic,36.102916,-115.169756
88216,35.0,69.5,Rock,32.7885,-97.34775
88236,20.0,20.0,Hip-Hop/Rap,32.785033,-96.80825
88299,10.0,10.0,Pop,43.11520773,-75.59038661
88301,57.21,107.21,Dance/Electronic,36.102916,-115.169756
88335,23.0,50.0,Other,43.606728,-116.207386
88347,25.0,25.0,Reggae,32.71662,-117.15951
88351,69.2,243.5,Metal,43.201094,-77.6402098
88366,29.5,65.0,Rock,42.346806,-71.097272
88374,25.0,50.0,Hip-Hop/Rap,39.75333786,-104.99507141
88379,69.0,69.0,Other,39.744362,-104.990271
88413,25.0,25.0,Rock,41.0013461,-73.6654488
88438,20.0,20.0,Metal,39.753332,-104.992516
88442,25.0,35.0,Classical,25.94960232,-80.13458177
88470,25.0,25.0,Rock,43.656551,-70.258943
88477,28.0,28.0,Rock,38.91819,-77.02241
88492,30.0,60.0,Rock,46.3750691,-120.3423175
88533,32.5,32.5,Metal,47.66126297,-122.31405191
88552,39.5,59.5,Rock,32.872469,-96.942954
88584,49.5,139.5,Rock,39.52331,-119.781017
88586,39.5,45.0,Hip-Hop/Rap,36.087535,-115.174742
88665,59.75,169.75,Country,41.651038,-83.537571
88700,18.0,18.0,Pop,33.7918926,-84.3877907
88720,27.5,27.5,Rock,42.3518332,-71.1195379
88723,25.0,35.0,Rock,29.42471628,-98.49110126
88724,30.0,69.5,R&B,32.790548,-96.814464
88763,9.0,30.0,Dance/Electronic,43.074566,-89.380978
88773,25.0,25.0,Rock,43.6539716,-70.2632924
88798,30.3,30.3,Alternative,32.767448,-117.20224
88836,59.5,249.5,Rock,41.976641,-87.86369
88872,12.3,17.7,Rock,43.150062,-77.600122
88890,55.0,99.0,Rock,36.117775,-115.172576
88951,15.0,15.0,Dance/Electronic,47.61358643,-122.34428406
88998,10.0,10.0,Alternative,41.508513,-81.580335
89007,50.5,210.5,Country,35.225222,-80.839921
89013,35.0,75.0,R&B,42.27129,-88.96133
89016,50.76,81.76,Undefined,36.098738,-115.175011
89023,57.0,62.0,Other,40.75599205,-73.98447747
89025,13.36,13.36,Pop,36.194958,-86.743149
89029,15.0,35.0,Dance/Electronic,36.117775,-115.172576
89030,10.0,10.0,Rock,41.477055,-81.7735853
89036,18.0,35.0,Pop,25.792917,-80.13314
89049,0.0,0.0,Folk,39.092089,-84.493152
89064,10.0,40.0,Rock,41.909857,-87.65293
89110,19.01,19.01,Country,40.6723969,-73.50999100000001
89228,25.0,45.0,Pop,34.72705,-86.590659
89245,37.51,62.74,Dance/Electronic,38.299671,-122.285516
89246,37.51,62.74,Dance/Electronic,38.299671,-122.285516
89250,55.0,55.0,Rock,40.720364,-73.993542
89257,18.0,18.0,Alternative,39.092089,-84.493152
89260,30.0,30.0,Hip-Hop/Rap,47.61458,-122.34915
89266,25.16,25.16,Other,40.6723969,-73.50999100000001
89270,25.0,50.0,Country,30.691136,-88.043415
89278,30.06,40.61,Jazz,40.7590167,-73.9896861
89281,30.06,40.61,Jazz,40.7590167,-73.9896861
89320,0.0,0.0,Country,39.092089,-84.493152
89373,18.98,18.98,World,33.747048,-117.866312
89378,10.0,10.0,Metal,41.48479293594138,-81.82448008835325
