artist_name,artist_spotify_id,scraped_popularity
Experience Hendrix,,-1
Electric Feels,,-1
Lisa Loeb,1TMMyiSsNzmRiZCAkVLVb2,50
Absolute Queen,,-1
Dancing with the Stars,,-1
Rob49,1jBoSSrbz9n4ehQWA4cZgB,65
Babyfxce E,7a8ZndeHGrkS7xIM8060Xw,58
Star Bandz,5qhDQveADDnjIZQ85AtgDM,51
Disturbed,3TOqt5oJwL9BE2NG9MEwDa,76
Sevendust,35Uu85Pq33mK8x1jYqsHY2,55
Club Seating: Paramount Theatre,,-1
Colin Mochrie & Brad Sherwood,,-1
Club Seating: Paramount Theatre,,-1
Colin Mochrie & Brad Sherwood,,-1
The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,60
Hail the Sun,0XblvrTo6mnHOxWIP1t5T6,52
Many Eyes,001Hfjmktqije9a7IvGuFb,31
Solence,4fnono0JCZFAeeaecrI7kg,51
Tower of Power,0JCxGVxsISZzJHJPUOtceB,47
Pat McCurdy,2Tdlpq4gnRZOa1nCtjB8v3,10
The Takes,22CxvQCHRWjDdy0nco4nch,28
Women Tied to Railroad Tracks,3ao1Gf1WNuYDokmUFLFaBg,0
Adema,3n4ersmDo55xV4fPSCKpXb,44
The Australian Bee Gees (Vegas),,-1
Black Violin,4zeHJ3kiJyjYXlIOcG4MA7,35
Austin Snell,6Hd5hSFd33CfhMqtG3fjtx,56
Dave Matthews Tribute Band,,-1
Jerry Cantrell,5HUFo8AH9ZILmlyKFfEMNP,46
Filter,01WjpKiWVNurV5hjIadB8C,56
Nathy Peluso,3VHAySZQPlfGlNLslzXYpN,66
Alex Jean,5qSM9F3Ei58tG08tXrJjSi,59
Piano Man,,-1
The Mongoloids,0SV4MV57u6CwBt2VwS8F7L,19
Vienna Vienna,5ZVQRC3rtUNBJVrrrSl17r,47
Jackyl,3jdirYL01245TvAH39GfM6,43
Heroes for Ghosts,6tnYYQbBobebpRbcsyZGcB,5
Molchat Doma,1nVq0hKIVReeaiB3xJgKf0,63
Sextile,4ReoJ2faKfdjI0plizlL56,42
Helmet,0qB0cTENhSUc0feov5qbg0,50
Slomosa,0l7GXb53ndWn97ul8Hpfzd,43
Gary Clark Jr,,-1
Grace Bowers,,-1
I Love the 90s,,-1
Vanilla Ice,7GXXMm3DB1VswVcuGyInUd,57
Tone Loc,,-1
Rob Base,,-1
C+C Music Factory,,-1
Andy Frasco & the U.N.,4scyTeRfyqCWVATfPP7SGu,42
Mihali,1GJKMYNEIsLbRfS3AyS4YV,46
Jesse Dayton,1NXXAtaI7ZYLazlZy2bXGa,31
Spazmatics - Las Vegas,,-1
Yonder Mountain String Band,1ReHC2jB2DGoPbMYhzuFuO,41
Styx,4salDzkGmfycRqNUbyBphh,62
Dylan Sinclair,45RZn1pAEvQYqkRnvFaIJx,44
Club 90s,,-1
Foghat,6x33CmZWo2Ve4hxYl2Craq,51
Let’s Sing Taylor - A Live Band Experience Celebrating Taylor Swift,,-1
Donavon Frankenreiter,2IAZ2xX1Ovh5jxhBWE7wda,55
Early James,6fJpluuZmZ2tX2AviJ3bNY,34
Last Dinosaurs,677sHrkjhB7IP4YwjzZyc4,53
CJ Chenier,,-1
The Judy Chops,1MlkLIQg52mRJfvPExl2fy,2
Fulton Lee,5CAvR9koH16JpcoTxUoeyS,48
Max McNown,340PS4ZcZ4UCBgyrXzEjcp,69
flipturn,7FKTg75ADVMZgY3P9ZMRtH,62
The Greeting Committee,1MIe1z4RdqLqHSJsb7EBMm,47
Houndmouth,7EGwUS3c5dXduO4sMyLWC5,57
Shane Smith and the Saints,,-1
Poundcake,3XKtsy42XKHaM9sQ8NWDrh,0
FINAL FANTASY VII REBIRTH Orchestra World Tour,,-1
Alex Jean,5qSM9F3Ei58tG08tXrJjSi,59
Warren Haynes,73iWh9WUMf0xK6cRkNJK4h,44
moe.,2ZfHMUPrxoZNDTBPHmmdhj,41
The Pink Floyd Laser Spectacular,,-1
Emo Night Tour,,-1
Good Kid,38SKxCyfrmNWqWunb9wGHP,65
Gilda's Laughfest,,-1
Clean Comedy Showcase,,-1
Mark Lettieri Group,,-1
Mark Lettieri Group,,-1
Aborted,1XRhUgCyzIdeT8d9KMfeDR,43
Ingested,0EziqO4Mehje1x6hA1Fg2m,38
